2 өрөө байр	120000000.00	100 айл	44.69 м²	3	2014	Сүхбаатар	Лизинггүй	Ашиглалтад орсон	2685164.4663235624
Дэлгэрэх хотхонд 2өрөө байр	130000000.00	Бусад	52.0 м²	9	2018	Хан-Уул	Лизинггүй	Ашиглалтад орсон	2500000.0
Шинэ яармаг хороололд 54м2 2 өрөө байр	206720000.0	Яармаг	54.4 м²	14	2020	Хан-Уул	Банкны лизингтэй	Ашиглалтад орсон	3800000.0
Нархан хотхонд 2 өрөө байр	220000000.00	Бусад	69.9 м²	2	2008	Хан-Уул	Лизинггүй	Ашиглалтад орсон	3147353.3619456366
5-р сургуулийн урд 2 өрөө	250000000.00	Бага тойрог	32.0 м²	3	1980	Чингэлтэй	Лизинггүй	Ашиглалтад орсон	7812500.0
Бзд , баянзүрх захын хажууд 77мкв 2 өрөө	261800000.00	Бусад	77.0 м²	9	2016	Баянзүрх	Лизинггүй	Ашиглалтад орсон	3400000.0
Яармагийн хотын захиргааны урд арцат лакшири-д 2 өрөө байр	145002000.0	Яармаг	55.77 м²	2	2022	Хан-Уул	Лизинггүй	Ашиглалтад орсон	2600000.0
40к резиденс-д 2 өрөө орон сууцууд	215250000.00	40, 50 мянгат	43.0 м²	5	2023	Чингэлтэй	Хувь лизингтэй	Ашиглалтад ороогүй	5005813.953488372
Бгд алтай хотхонд 43м2 2 өрөө байр	125000000.00	Алтай хотхон	43.0 м²	5	2008	Баянгол	Лизинггүй	Ашиглалтад орсон	2906976.7441860465
Ану элчингийн зүүн талд 2 өрөө	160000000.00	11-р хороолол	50.3 м²	13	2011	Чингэлтэй	Лизинггүй	Ашиглалтад орсон	3180914.5129224653
Бзд 14-р хороолол ахмадын хороололд 2 өрөө байр	125000000.00	Өгөөмөр захын зүүн	54.5 м²	2	2010	Баянзүрх	Банкны лизингтэй	Ашиглалтад орсон	2293577.981651376
Нисэх сөүл гарден хороололд шинэ 2өрөө байр	135000000.00	Нисэх	42.0 м²	16	2023	Хан-Уул	Лизинггүй	Ашиглалтад орсон	3214285.714285714
Нисэхийн seoul garden хотхонд шинэ 2 өрөө орон сууц	165200000.00	Нисэх	59.0 м²	6	2022	Хан-Уул	Лизинггүй	Ашиглалтад орсон	2800000.0
Нисэх цагаан хаалга хотхонд 2 өрөө байр	80000000.00	Нисэх	42.73 м²	10	2023	Хан-Уул	Лизинггүй	Ашиглалтад ороогүй	1872220.9220688043
Драгоны ард 21-р байранд 2 өрөө байр	129000000.00	5 шар	51.2 м²	4	2016	Сонгино Хайрхан	Лизинггүй	Ашиглалтад орсон	2519531.25
